sub_district_code,sub_district_name,district_code
2574,amrapara,353
2575,hiranpur,353
2576,pakaur,353
2577,maheshpur,353
2578,pakuria,353
2579,tundi,354
2580,purbi tundi,354
2581,topchanchi,354
2582,baghmara-cum-katras,354
2583,gobindpur,354
2584,dhanbad-cum-kenduadih-cum-jagata,354
2586,baliapur,354
2587,nirsa-cum-chirkunda,354
2588,nawadih,355
2589,chandrapura,355
2590,bermo,355
2591,gumia,355
2592,peterwar,355
2593,kasmar,355
2594,jaridih,355
2595,chas,355
2596,chandankiyari,355
2597,kisko,356
2598,peshrar,356
2599,kuru,356
2600,kairo,356
2601,lohardaga,356
2602,senha,356
2603,bhandra,356
2604,patamda,357
2605,boram,357
2606,golmuri-cum-jugsalai,357
2607,ghatshila,357
2608,potka,357
2609,musabani,357
2610,dumaria,357
2611,dhalbhumgarh,357
2612,gurbandha,357
2613,chakulia,357
2614,baharagora,357
2615,hussainabad,358
2616,haidernagar,358
2617,mohammad ganj,358
2618,hariharganj,358
2619,pipra,358
2620,chhatarpur,358
2621,nawadiha bazar/nawadiha,358
2622,pandu,358
2623,untari road,358
2624,bishrampur,358
2625,nawa bazar,358
2626,patan,358
2627,padwa,358
2628,manatu,358
2629,tarhasi,358
2630,panki,358
2631,satbarwa,358
2632,nilambar-pitambarpur(lesliganj),358
2633,medininagar(daltonganj),358
2634,chainpur,358
2635,manika,359
2636,barwadih,359
2637,mahuadanr,359
2638,garu,359
2639,latehar,359
2640,balumath,359
2641,bariyatu,359
2642,herhanj,359
2643,chandwa,359
2644,chauparan,360
2645,barhi,360
2646,padma,360
2647,ichak,360
2648,tati jhariya,360
2649,daru,360
2650,barkatha,360
2651,chalkusa,360
2652,bishungarh,360
2653,hazaribag,360
2654,katkamsandi,360
2655,katamdag,360
2656,keredari,360
2657,barkagaon,360
2658,churchu,360
2659,dadi,360
2660,patratu,361
2661,mandu,361
2662,ramgarh,361
2663,dulmi,361
2664,chitarpur,361
2665,gola,361
2666,saraiyahat,362
2667,jarmundi,362
2668,ramgarh,362
2669,gopikandar,362
2670,kathikund,362
2671,shikaripara,362
2672,ranishwar,362
2673,dumka,362
2674,jama,362
2675,masalia,362
2676,narayanpur,363
2677,karma tanr vidyasagar,363
2678,jamtara,363
2679,nala,363
2680,fatehpur,363
2681,kundhit,363
2682,burmu,364
2683,khelari,364
2684,kanke,364
2685,ormanjhi,364
2686,angara,364
2687,rahe,364
2688,silli,364
2689,sonahatu,364
2690,namkum,364
2691,ratu,364
2692,nagri,364
2693,mandar,364
2694,chanho,364
2695,bero,364
2696,itki,364
2697,lapung,364
2698,bundu,364
2699,tamar i,364
2700,karra,365
2701,torpa,365
2702,rania,365
2703,murhu,365
2704,khunti,365
2705,erki (tamar ii),365
2706,bishunpur,366
2707,ghaghra,366
2708,sisai,366
2709,verno,366
2710,kamdara,366
2711,basia,366
2712,gumla,366
2713,chainpur,366
2714,dumri,366
2715,albert ekka(jari),366
2716,raidih,366
2717,palkot,366
2718,simdega,367
2719,pakar tanr,367
2720,kurdeg,367
2721,kersai,367
2722,bolba,367
2723,thethaitangar,367
2724,kolebira,367
2725,jaldega,367
2726,bansjor,367
2727,bano,367
2728,sonua,368
2729,gudri,368
2730,bandgaon,368
2731,chakradharpur,368
2732,khuntpani,368
2733,goilkera,368
2734,anandpur,368
2735,manoharpur,368
2736,noamundi,368
2737,tonto,368
2738,hat gamharia,368
2739,chaibasa,368
2740,tantnagar,368
2741,manjhari,368
2742,jhinkpani,368
2743,jagannathpur,368
2744,kumardungi,368
2745,majhgaon,368
2746,kuchai,369
2747,kharsawan,369
2748,chandil,369
2749,ichagarh,369
2750,kukru,369
2751,nimdih,369
2752,adityapur(gamharia),369
2753,saraikela,369
2754,gobindpur(rajnagar),369
5909,puducherry taluk,635
5911,villianur taluk,635
5912,bahour taluk,635
5914,karaikal taluk,637
5915,thirunallar taluk,637
3722,lakhpat,468
3723,rapar,468
3724,bhachau,468
3725,anjar,468
3726,bhuj,468
3727,nakhatrana,468
3728,abdasa,468
3729,mandvi,468
3730,mundra,468
3731,gandhidham,468
3732,vav,469
3733,tharad,469
3734,dhanera,469
3735,dantiwada,469
3736,amirgadh,469
3737,danta,469
3738,vadgam,469
3739,palanpur,469
3740,deesa,469
3741,deodar,469
3742,bhabhar,469
3743,kankrej,469
3744,santalpur,470
3745,radhanpur,470
3746,sidhpur,470
3747,patan,470
3748,harij,470
3749,sami,470
3750,chanasma,470
3751,satlasana,471
3752,kheralu,471
3753,unjha,471
3754,visnagar,471
3755,vadnagar,471
3756,vijapur,471
3757,mahesana,471
3758,becharaji,471
3759,kadi,471
3760,khedbrahma,472
3761,vijaynagar,472
3762,vadali,472
3763,idar,472
3764,bhiloda,472
3765,meghraj,472
3766,himatnagar,472
3767,prantij,472
3768,talod,472
3769,modasa,472
3770,dhansura,472
3771,malpur,472
3772,bayad,472
3773,kalol,473
3774,mansa,473
3775,gandhinagar,473
3776,dehgam,473
3777,mandal,474
3778,detroj-rampura,474
3779,viramgam,474
3780,sanand,474
3782,daskroi,474
3783,dholka,474
3784,bavla,474
3785,ranpur,474
3786,barwala,474
3787,dhandhuka,474
3788,halvad,475
3789,dhrangadhra,475
3790,dasada,475
3791,lakhtar,475
3792,wadhwan,475
3793,muli,475
3794,chotila,475
3795,sayla,475
3796,chuda,475
3797,limbdi,475
3798,maliya,476
3799,morvi,476
3800,tankara,476
3801,wankaner,476
3802,paddhari,476
3803,rajkot,476
3804,lodhika,476
3805,kotda sangani,476
3806,jasdan,476
3807,gondal,476
3808,jamkandorna,476
3809,upleta,476
3810,dhoraji,476
3811,jetpur,476
3812,okhamandal,477
3813,khambhalia,477
3814,jamnagar,477
3815,jodiya,477
3816,dhrol,477
3817,kalavad,477
3818,lalpur,477
3819,kalyanpur,477
3820,bhanvad,477
3821,jamjodhpur,477
3822,porbandar,478
3823,ranavav,478
3824,kutiyana,478
3825,manavadar,479
3826,vanthali,479
3827,junagadh,479
3828,bhesan,479
3829,visavadar,479
3830,mendarda,479
3831,keshod,479
3832,mangrol,479
3833,malia,479
3834,talala,479
3835,patan-veraval,479
3836,sutrapada,479
3837,kodinar,479
3838,una,479
3839,kunkavav vadia,480
3840,babra,480
3841,lathi,480
3842,lilia,480
3843,amreli,480
3844,bagasara,480
3845,dhari,480
3846,savar kundla,480
3847,khambha,480
3848,jafrabad,480
3849,rajula,480
3850,botad,481
3851,vallabhipur,481
3852,gadhada,481
3853,umrala,481
3854,bhavnagar,481
3855,ghogha,481
3856,sihor,481
3857,gariadhar,481
3858,palitana,481
3859,talaja,481
3860,mahuva,481
3861,tarapur,482
3862,sojitra,482
3863,umreth,482
3864,anand,482
3865,petlad,482
3866,khambhat,482
3867,borsad,482
3868,anklav,482
3869,kapadvanj,483
3870,virpur,483
3871,balasinor,483
3872,kathlal,483
3873,mehmedabad,483
3874,kheda,483
3875,matar,483
3876,nadiad,483
3877,mahudha,483
3878,thasra,483
3879,khanpur,484
3880,kadana,484
3881,santrampur,484
3882,lunawada,484
3883,shehera,484
3884,morwa (hadaf),484
3885,godhra,484
3886,kalol,484
3887,ghoghamba,484
3888,halol,484
3889,jambughoda,484
3890,fatepura,485
3891,jhalod,485
3892,limkheda,485
3893,dohad,485
3894,garbada,485
3895,devgadbaria,485
3896,dhanpur,485
3897,savli,486
3898,vadodara,486
3899,vaghodia,486
3900,jetpur pavi,486
3901,chhota udaipur,486
3902,kavant,486
3903,nasvadi,486
3904,sankheda,486
3905,dabhoi,486
3906,padra,486
3907,karjan,486
3908,sinor,486
3909,tilakwada,487
3910,nandod,487
3911,dediapada,487
3912,sagbara,487
3913,jambusar,488
3914,amod,488
3915,vagra,488
3916,bharuch,488
3917,jhagadia,488
3918,anklesvar,488
3919,hansot,488
3920,valia,488
3921,the dangs,489
3922,navsari,490
3923,jalalpore,490
3924,gandevi,490
3925,chikhli,490
3926,bansda,490
3927,valsad,491
3928,dharampur,491
3929,pardi,491
3930,kaprada,491
3931,umbergaon,491
3932,olpad,492
3933,mangrol,492
3934,umarpada,492
3935,mandvi,492
3936,kamrej,492
3938,chorasi,492
3939,palsana,492
3940,bardoli,492
3941,mahuva,492
3942,nizar,493
3943,uchchhal,493
3944,songadh,493
3945,vyara,493
3946,valod,493
83,pangi,23
84,chaurah,23
85,saluni,23
86,bhalai,23
87,dalhousie,23
88,bhattiyat,23
89,sihunta,23
90,chamba,23
91,holi,23
92,brahmaur,23
93,nurpur,24
94,indora,24
95,fatehpur,24
96,jawali,24
97,harchakian,24
98,shahpur,24
99,dharmsala,24
100,kangra,24
101,nagrota bagwan,24
102,baroh,24
103,dera gopipur,24
104,jawalamukhi,24
105,jaswan,24
106,rakkar,24
107,khundian,24
108,thural,24
109,dhira,24
110,jaisinghpur,24
111,palampur,24
112,baijnath,24
113,multhan,24
114,udaipur,25
115,lahul,25
116,spiti,25
117,manali,26
118,kullu,26
119,sainj,26
120,banjar,26
121,ani,26
122,nermand,26
123,padhar,27
124,jogindarnagar,27
125,lad bharol,27
126,sandhol,27
127,dharmpur,27
128,kotli,27
129,sarkaghat,27
130,bhadrota,27
131,baldwara,27
132,sundarnagar,27
133,mandi,27
134,aut,27
135,bali chowki,27
136,thunag,27
137,chachyot,27
138,nihri,27
139,karsog,27
140,tira sujanpur,28
141,nadaun,28
142,galore,28
143,hamirpur,28
144,barsar,28
145,dhatwal,28
146,bhoranj,28
147,bharwain,29
148,amb,29
149,bangana,29
150,una,29
151,haroli,29
152,ghumarwin,30
153,bharari,30
154,jhanduta,30
155,naina devi,30
156,bilaspur sadar,30
157,namhol,30
158,arki,31
159,darlaghat,31
160,ramshahr,31
161,nalagarh,31
162,baddi,31
163,krishangarh,31
164,kasauli,31
165,solan,31
166,kandaghat,31
167,rajgarh,32
168,nohra,32
169,pachhad,32
170,renuka,32
171,dadahu,32
172,nahan,32
173,paonta sahib,32
174,kamrau,32
175,shalai,32
176,ronhat,32
177,rampur,33
178,nankhari,33
179,kumharsain,33
180,seoni,33
181,shimla   ( rural ),33
183,junga,33
184,theog,33
185,chaupal,33
186,cheta,33
187,nerua,33
188,jubbal,33
189,kotkhai,33
190,tikar,33
191,rohru,33
192,chirgaon,33
193,dodra kwar,33
194,hangrang,34
195,poo,34
196,morang,34
197,kalpa,34
198,nichar,34
199,sangla,34
457,karanpur,99
458,ganganagar,99
459,sadulshahar,99
460,padampur,99
461,raisinghnagar,99
462,anupgarh,99
463,gharsana,99
464,vijainagar,99
465,suratgarh,99
466,sangaria,100
467,tibi,100
468,hanumangarh,100
469,pilibanga,100
470,rawatsar,100
471,nohar,100
472,bhadra,100
473,bikaner,101
474,poogal,101
475,lunkaransar,101
476,kolayat,101
477,nokha,101
478,khajuwala,101
479,chhatargarh,101
480,sridungargarh,101
481,taranagar,102
482,rajgarh,102
483,sardarshahar,102
484,churu,102
485,ratangarh,102
486,sujangarh,102
487,jhunjhunun,103
488,chirawa,103
489,buhana,103
490,khetri,103
491,nawalgarh,103
492,udaipurwati,103
493,behror,104
494,mandawar,104
495,kotkasim,104
496,tijara,104
497,kishangarh bas,104
498,ramgarh,104
499,alwar,104
500,bansur,104
501,thanagazi,104
502,rajgarh,104
503,lachhmangarh,104
504,kathumar,104
505,pahari,105
506,kaman,105
507,nagar,105
508,deeg,105
509,nadbai,105
510,kumher,105
511,bharatpur,105
512,weir,105
513,bayana,105
514,rupbas,105
515,baseri,106
516,bari,106
517,sepau,106
518,dhaulpur,106
519,rajakhera,106
520,todabhim,107
521,nadoti,107
522,hindaun,107
523,karauli,107
524,mandrail,107
525,sapotra,107
526,gangapur,108
527,bamanwas,108
528,malarna doongar,108
529,bonli,108
530,chauth ka barwara,108
531,sawai madhopur,108
532,khandar,108
533,baswa,109
534,mahwa,109
535,sikrai,109
536,dausa,109
537,lalsot,109
538,kotputli,110
539,viratnagar,110
540,shahpura,110
541,chomu,110
542,phulera (hq.sambhar),110
543,mauzamabad,110
544,phagi,110
545,sanganer,110
546,jaipur,110
547,amber,110
548,jamwa ramgarh,110
549,bassi,110
550,chaksu,110
551,fatehpur,111
552,lachhmangarh,111
553,sikar,111
554,danta ramgarh,111
555,sri madhopur,111
556,neem-ka-thana,111
557,ladnu,112
558,didwana,112
559,jayal,112
560,nagaur,112
561,kheenvsar,112
562,merta,112
563,degana,112
564,parbatsar,112
565,makrana,112
566,nawa,112
567,phalodi,113
568,osian,113
569,bhopalgarh,113
570,jodhpur,113
571,shergarh,113
572,luni,113
573,bilara,113
574,jaisalmer,114
575,pokaran,114
576,fatehgarh,114
577,sheo,115
578,baytoo,115
579,pachpadra,115
580,siwana,115
581,gudha malani,115
582,barmer,115
583,ramsar,115
584,chohtan,115
585,sayla,116
586,ahore,116
587,jalor,116
588,bhinmal,116
589,bagora,116
590,sanchore,116
591,raniwara,116
592,sheoganj,117
593,sirohi,117
594,pindwara,117
595,abu road,117
596,reodar,117
597,jaitaran,118
598,raipur,118
599,sojat,118
600,rohat,118
601,pali,118
602,marwar junction,118
603,desuri,118
604,sumerpur,118
605,bali,118
606,kishangarh,119
607,ajmer,119
608,peesangan,119
609,beawar,119
610,masuda,119
611,nasirabad,119
612,bhinay,119
613,sarwar,119
614,kekri,119
615,malpura,120
616,peeplu,120
617,niwai,120
618,tonk,120
619,todaraisingh,120
620,deoli,120
621,uniara,120
622,hindoli,121
626,bundi,121
623,nainwa,121
624,indragarh,121
625,keshoraipatan,121
627,asind,122
628,hurda,122
629,shahpura,122
630,banera,122
631,mandal,122
632,raipur,122
633,sahara,122
634,bhilwara,122
635,kotri,122
636,jahazpur,122
637,mandalgarh,122
638,beejoliya,122
639,bhim,123
640,deogarh,123
641,amet,123
642,kumbhalgarh,123
643,rajsamand,123
644,railmagra,123
645,nathdwara,123
646,dungarpur,124
647,aspur,124
648,sagwara,124
649,simalwara,124
650,ghatol,125
651,garhi,125
652,banswara,125
653,bagidora,125
654,kushalgarh,125
655,rashmi,126
656,gangrar,126
657,begun,126
658,rawatbhata,126
659,chittaurgarh,126
660,kapasan,126
661,dungla,126
662,bhadesar,126
663,nimbahera,126
664,bari sadri,126
665,pipalda,127
666,digod,127
667,ladpura,127
668,ramganj mandi,127
669,sangod,127
670,mangrol,128
671,antah,128
672,baran,128
673,atru,128
674,kishanganj,128
675,shahbad,128
676,chhabra,128
677,chhipabarod,128
678,khanpur,129
679,jhalrapatan,129
680,aklera,129
681,manohar thana,129
682,pachpahar,129
683,pirawa,129
684,gangdhar,129
685,mavli,130
686,gogunda,130
687,kotra,130
688,jhadol,130
689,girwa,130
690,vallabhnagar,130
691,lasadiya,130
692,salumbar,130
693,sarada,130
694,rishabhdeo,130
695,kherwara,130
696,dhariawad,131
697,peepalkhoont,131
698,chhoti sadri,131
699,pratapgarh,131
700,arnod,131
1556,zemithang,245
1557,lumla,245
1558,dudunghar,245
1559,tawang,245
1560,kitpi,245
1561,jang,245
1562,lhou,245
1563,mukto,245
1564,bongkhar,245
1565,thingbu,245
1566,dirang,246
1567,thembang,246
1568,nafra,246
1569,bomdila,246
1570,kalaktang,246
1571,shergaon,246
1572,rupa,246
1573,singchung,246
1574,jamiri,246
1575,thrizino,246
1576,bhalukpong,246
1577,kamengbari-doimara,246
1578,balemu,246
1579,seijosa,247
1580,dissing-passo,247
1581,pakke-kessang,247
1582,pizirang(veo),247
1583,richukrong,247
1584,seppa,247
1585,lada,247
1586,bameng,247
1587,pipu-dipu,247
1588,gyawe purang,247
1589,khenewa,247
1590,chayangtajo,247
1591,sawa,247
1592,balijan,248
1593,banderdawa,248
1594,sangdupota (besar nello),248
1595,taraso,248
1596,itanagar,248
1597,naharlagun,248
1598,doimukh,248
1599,gumto,248
1600,toru,248
1601,sagalee,248
1602,parang,248
1603,leporiang,248
1604,mengio,248
1605,kimin,248
1606,kakoi,248
1607,taksing,249
1608,limeking,249
1609,nacho,249
1610,siyum,249
1611,taliha,249
1612,payeng,249
1613,giba,249
1614,chetam (peer yapu),249
1615,daporijo,249
1616,puchi geko,249
1617,dumporijo,249
1618,gussar,249
1619,gite-ripa,249
1620,baririjo,249
1621,maro,249
1622,mechuka,250
1623,monigong,250
1624,pidi,250
1625,payum,250
1626,tato,250
1627,kaying,250
1628,darak,250
1629,kamba,250
1630,rumgong,250
1631,jomlo mobuk,250
1632,liromoba,250
1633,yomcha,250
1634,aalo,250
